"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","France","-12.8275","45.166244","40","40","40","40","40","40","40","40","40","-12.8275,45.166244"
"-","France","-20.904304999999997","165.618042","0","0","0","0","0","0","0","0","0","-20.904304999999997,165.618042"
"-","France","-21.1151","55.5364","13","13","13","13","14","14","15","15","15","-21.1151,55.5364"
"-","France","17.9","-62.8333","0","0","0","0","0","0","0","0","0","17.9,-62.8333"
"-","France","46.8852","-56.3159","0","0","0","0","0","0","0","0","0","46.8852,-56.3159"
"-","France","18.0708","-63.0501","6","6","6","6","6","6","6","6","6","18.0708,-63.0501"
"-","France","46.2276","2.2137","30575","30613","30643","30656","30735","30735","30735","30790","30790","46.2276,2.2137"
"-","Gabon","-0.8037","11.6094","53","53","53","53","53","53","53","53","53","-0.8037,11.6094"
"-","Gambia","13.4432","-15.3101","99","99","99","100","100","102","103","103","103","13.4432,-15.3101"
"-","Georgia","42.3154","43.3569","19","19","19","19","19","19","19","19","19","42.3154,43.3569"
"-","Germany","51.165690999999995","10.451526","9331","9336","9342","9345","9348","9352","9354","9356","9356","51.165690999999995,10.451526"
"-","Ghana","7.9465","-1.0232","283","283","283","283","285","286","286","294","294","7.9465,-1.0232"
"-","Greece","39.0742","21.8243","289","290","293","297","300","302","305","310","310","39.0742,21.8243"
"-","Grenada","12.1165","-61.678999999999995","0","0","0","0","0","0","0","0","0","12.1165,-61.678999999999995"
"-","Guatemala","15.7835","-90.2308","2862","2890","2897","2918","2929","2949","2957","2972","2972","15.7835,-90.2308"
"-","Guinea","9.9456","-9.6966","62","63","63","63","63","63","63","63","63","9.9456,-9.6966"
"-","Guinea-Bissau","11.8037","-15.1804","38","38","38","39","39","39","39","39","39","11.8037,-15.1804"
"-","Guyana","4.860416000000002","-58.93018000000001","47","48","48","49","52","54","56","56","56","4.860416000000002,-58.93018000000001"
"-","Haiti","18.9712","-72.2852","214","214","214","215","216","219","219","219","219","18.9712,-72.2852"
"-","Holy See","41.9029","12.4534","0","0","0","0","0","0","0","0","0","41.9029,12.4534"
"-","Honduras","15.2","-86.2419","2023","2034","2044","2049","2058","2065","2079","2087","2087","15.2,-86.2419"
"-","Hungary","47.1625","19.5033","625","626","628","630","631","633","637","642","642","47.1625,19.5033"
"-","Iceland","64.9631","-19.0208","10","10","10","10","10","10","10","10","10","64.9631,-19.0208"
"-","India","20.593684","78.96288","72775","73890","75062","76271","77472","78586","79722","79722","79722","20.593684,78.96288"
"-","Indonesia","-0.7893","113.9213","8130","8230","8336","8456","8544","8650","8723","8841","8841","-0.7893,113.9213"
"-","Iran","32.427908","53.68804599999999","22410","22542","22669","22798","22913","23029","23157","23313","23313","32.427908,53.68804599999999"
"-","Iraq","33.223191","43.679291","7589","7657","7732","7814","7881","7941","8014","8086","8086","33.223191,43.679291"
"-","Ireland","53.1424","-7.6921","1777","1778","1781","1781","1781","1783","1784","1784","1784","53.1424,-7.6921"
"-","Israel","31.046051000000002","34.851612","1026","1040","1054","1077","1090","1103","1119","1136","1136","31.046051000000002,34.851612"
"-","Italy","41.87194","12.56738","35553","35563","35577","35587","35597","35603","35610","35624","35624","41.87194,12.56738"
"-","Jamaica","18.1096","-77.2975","34","36","38","40","40","40","42","44","44","18.1096,-77.2975"
"-","Japan","36.204824","138.252924","1377","1398","1412","1416","1428","1441","1448","1455","1455","36.204824,138.252924"
"-","Jordan","31.24","36.51","17","19","19","20","21","22","24","26","26","31.24,36.51"
"-","Kazakhstan","48.0196","66.9237","1588","1634","1634","1634","1634","1634","1634","1634","1634","48.0196,66.9237"
"-","Kenya","-0.0236","37.9062","599","599","607","612","616","619","622","624","624","-0.0236,37.9062"
"-","Korea, South","35.90775700000001","127.766922","341","344","346","350","355","358","363","367","367","35.90775700000001,127.766922"
"-","Kosovo","42.602636","20.902977","488","488","488","488","488","488","488","488","488","42.602636,20.902977"
"-","Kuwait","29.311659999999996","47.481766","546","548","552","556","557","558","560","563","563","29.311659999999996,47.481766"
"-","Kyrgyzstan","41.20438","74.766098","1060","1060","1061","1061","1063","1063","1063","1063","1063","41.20438,74.766098"
"-","Laos","19.856270000000002","102.495496","0","0","0","0","0","0","0","0","0","19.856270000000002,102.495496"
"-","Latvia","56.8796","24.6032","35","35","35","35","35","35","35","35","35","56.8796,24.6032"
"-","Lebanon","33.8547","35.8623","200","207","212","219","229","239","241","246","246","33.8547,35.8623"
