"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Guinea","9.9456","-9.6966","9816","9848","9885","9946","9979","10020","10045","10061","10061","9.9456,-9.6966"
"-","Guinea-Bissau","11.8037","-15.1804","2245","2245","2245","2275","2275","2275","2275","2275","2275","11.8037,-15.1804"
"-","Guyana","4.860416","-58.93018","1560","1613","1703","1750","1763","1812","1853","1884","1884","4.860416,-58.93018"
"-","Haiti","18.9712","-72.2852","8376","8376","8384","8429","8457","8478","8493","8499","8499","18.9712,-72.2852"
"-","Holy See","41.9029","12.4534","12","12","12","12","12","12","12","12","12","41.9029,12.4534"
"-","Honduras","15.2","-86.2419","64814","65218","65597","65802","66049","67136","67789","68620","68620","15.2,-86.2419"
"-","Hungary","47.1625","19.5033","8963","9304","9715","10191","10909","11825","12309","13153","13153","47.1625,19.5033"
"-","Iceland","64.9631","-19.0208","2143","2150","2153","2157","2161","2162","2165","2168","2168","64.9631,-19.0208"
"-","India","20.593684","78.96288","4280422","4370128","4465863","4562414","4659984","4754356","4846427","4846427","4846427","20.593684,78.96288"
"-","Indonesia","-0.7893","113.9213","196989","200035","203342","207203","210940","214746","218382","221523","221523","-0.7893,113.9213"
"-","Iran","32.427908","53.688046","388810","391112","393425","395488","397801","399940","402029","404648","404648","32.427908,53.688046"
"-","Iraq","33.223191","43.679291","264684","269578","273821","278418","282672","286778","290309","294478","294478","33.223191,43.679291"
"-","Ireland","53.1424","-7.6921","29774","30080","30164","30360","30571","30730","30985","31192","31192","53.1424,-7.6921"
"-","Israel","31.046051","34.851612","133975","137565","141097","145526","148564","152722","155604","160368","160368","31.046051,34.851612"
"-","Italy","41.87194","12.56738","278784","280153","281583","283180","284796","286297","287753","288761","288761","41.87194,12.56738"
"-","Jamaica","18.1096","-77.2975","3183","3323","3437","3511","3511","3623","3771","3933","3933","18.1096,-77.2975"
"-","Japan","36.204824","138.252924","72213","72724","73264","73916","74558","75206","75646","75914","75914","36.204824,138.252924"
"-","Jordan","31.24","36.51","2478","2581","2659","2739","2945","3062","3314","3528","3528","31.24,36.51"
"-","Kazakhstan","48.0196","66.9237","106425","106498","106584","106661","106729","106803","106855","106920","106920","48.0196,66.9237"
"-","Kenya","-0.0236","37.9062","35205","35356","35460","35603","35793","35969","36157","36205","36205","-0.0236,37.9062"
"-","Korea, South","35.907757","127.766922","21432","21588","21743","21919","22055","22176","22285","22391","22391","35.907757,127.766922"
"-","Kosovo","42.602636","20.902977","12683","12683","12683","12683","12683","12683","12683","12683","12683","42.602636,20.902977"
"-","Kuwait","29.31166","47.481766","90387","91244","92082","92822","93475","94211","94764","95472","95472","29.31166,47.481766"
"-","Kyrgyzstan","41.20438","74.766098","44458","44487","44613","44684","44761","44828","44881","44928","44928","41.20438,74.766098"
"-","Laos","19.85627","102.495496","22","22","22","22","23","23","23","23","23","19.85627,102.495496"
"-","Latvia","56.8796","24.6032","1429","1432","1443","1448","1459","1464","1474","1477","1477","56.8796,24.6032"
"-","Lebanon","33.8547","35.8623","20826","21324","21877","22437","22983","23669","24310","25401","25401","33.8547,35.8623"
"-","Lesotho","-29.61","28.2336","1148","1148","1164","1164","1245","1245","1245","1245","1245","-29.61,28.2336"
"-","Liberia","6.428055","-9.429499","1311","1311","1313","1315","1315","1316","1319","1321","1321","6.428055,-9.429499"
"-","Libya","26.3351","17.228331","18834","19583","20462","20939","21908","22348","22781","23515","23515","26.3351,17.228331"
"-","Liechtenstein","47.14","9.55","107","107","108","109","109","111","111","111","111","47.14,9.55"
"-","Lithuania","55.1694","23.8813","3100","3131","3163","3199","3243","3296","3335","3386","3386","55.1694,23.8813"
"-","Luxembourg","49.8153","6.1296","6960","6974","7023","7088","7088","7159","7159","7244","7244","49.8153,6.1296"
"-","MS Zaandam","0","0","9","9","9","9","9","9","9","9","9","0,0"
"-","Madagascar","-18.766947","46.869107","15352","15435","15520","15624","15669","15737","15757","15769","15769","-18.766947,46.869107"
"-","Malawi","-13.2543","34.3015","5621","5630","5653","5655","5669","5678","5690","5697","5697","-13.2543,34.3015"
"-","Malaysia","4.210484","101.975766","9459","9559","9583","9628","9810","9868","9915","9946","9946","4.210484,101.975766"
"-","Maldives","3.2028","73.2207","8667","8741","8834","8900","8990","9052","9173","9243","9243","3.2028,73.2207"
"-","Mali","17.570692","-3.996166","2870","2882","2898","2909","2912","2916","2924","2935","2935","17.570692,-3.996166"
"-","Malta","35.9375","14.3754","2076","2099","2162","2204","2247","2274","2352","2405","2405","35.9375,14.3754"
"-","Mauritania","21.0079","-10.9408","7165","7165","7191","7222","7266","7274","7276","7295","7295","21.0079,-10.9408"
"-","Mauritius","-20.348404","57.552152","356","361","361","361","361","361","361","361","361","-20.348404,57.552152"
"-","Mexico","23.6345","-102.5528","637509","642860","647321","652364","658299","663973","668381","671716","671716","23.6345,-102.5528"
"-","Moldova","47.4116","28.3699","40055","40556","41144","41704","42183","42714","42978","43207","43207","47.4116,28.3699"
"-","Monaco","43.7333","7.4167","153","156","161","165","168","169","171","177","177","43.7333,7.4167"
"-","Mongolia","46.8625","103.8467","310","310","310","311","311","311","311","311","311","46.8625,103.8467"
"-","Montenegro","42.708678","19.37439","5659","5875","6094","6222","6385","6530","6712","6900","6900","42.708678,19.37439"
"-","Morocco","31.7917","-7.0926","73780","75721","77878","79767","82197","84435","86686","88203","88203","31.7917,-7.0926"
"-","Mozambique","-18.665695","35.529562","4557","4647","4764","4832","4918","5040","5269","5482","5482","-18.665695,35.529562"
"-","Namibia","-22.9576","18.4904","8810","8928","9108","9256","9437","9604","9719","9818","9818","-22.9576,18.4904"
"-","Nepal","28.1667","84.25","47236","48138","49219","50465","51919","53120","54159","55329","55329","28.1667,84.25"
"-","Netherlands","12.5211","-69.9683","2482","2589","2730","2819","2898","2994","3046","3060","3060","12.5211,-69.9683"
"-","Netherlands","12.1784","-68.2385","18","21","21","25","25","25","25","25","25","12.1784,-68.2385"
"-","Netherlands","12.1696","-68.99","102","107","116","131","135","145","157","161","161","12.1696,-68.99"
"-","Netherlands","18.0425","-63.0548","516","527","530","530","531","533","549","549","549","18.0425,-63.0548"
"-","Netherlands","52.1326","5.2913","75584","76548","77688","78511","79781","81012","82099","83399","83399","52.1326,5.2913"
"-","New Zealand","-40.9006","174.886","1782","1788","1792","1793","1795","1797","1798","1801","1801","-40.9006,174.886"
"-","Nicaragua","12.865416","-85.207229","4668","4818","4818","4818","4818","4818","4818","4818","4818","12.865416,-85.207229"
"-","Niger","17.607789","8.081666","1177","1178","1178","1178","1178","1178","1180","1180","1180","17.607789,8.081666"
"-","Nigeria","9.082","8.6753","55160","55456","55632","55829","56017","56177","56256","56388","56388","9.082,8.6753"
"-","North Macedonia","41.6086","21.7453","15127","15226","15293","15414","15555","15694","15791","15827","15827","41.6086,21.7453"
"-","Norway","60.472","8.4689","11521","11623","11746","11867","12003","12079","12154","12276","12276","60.472,8.4689"
"-","Oman","21.512583","55.923255","87328","87590","87939","88337","88337","88337","89746","90222","90222","21.512583,55.923255"
"-","Pakistan","30.3753","69.3451","299233","299659","300030","300371","300955","301481","302020","302424","302424","30.3753,69.3451"
"-","Panama","8.538","-80.7821","97578","98407","99042","99715","100330","101041","101745","102204","102204","8.538,-80.7821"
"-","Papua New Guinea","-6.314993","143.95555","497","503","504","507","508","508","510","511","511","-6.314993,143.95555"
"-","Paraguay","-23.4425","-58.4438","23353","24214","25026","25631","26512","27324","27817","28367","28367","-23.4425,-58.4438"
"-","Peru","-9.19","-75.0152","689977","691575","696190","702776","710067","716670","722832","729619","729619","-9.19,-75.0152"
"-","Philippines","12.879721","121.774017","238727","241987","245143","248947","252964","257863","261216","265888","265888","12.879721,121.774017"
"-","Poland","51.9194","19.1451","71126","71526","71947","72453","73047","73650","74152","74529","74529","51.9194,19.1451"
"-","Portugal","39.3999","-8.2245","60507","60895","61541","62126","62813","63310","63983","64596","64596","39.3999,-8.2245"
"-","Qatar","25.3548","51.1839","120348","120579","120846","121052","121287","121523","121740","121975","121975","25.3548,51.1839"
"-","Romania","45.9432","24.9668","95897","97033","98304","99684","101075","102386","103495","104187","104187","45.9432,24.9668"
"-","Russia","61.52401","105.318756","1027334","1032354","1037526","1042836","1048257","1053663","1059024","1064438","1064438","61.52401,105.318756"
"-","Rwanda","-1.9403","29.8739","4409","4439","4460","4479","4534","4565","4591","4602","4602","-1.9403,29.8739"
"-","Saint Kitts and Nevis","17.357822","-62.782998","17","17","17","17","17","17","17","17","17","17.357822,-62.782998"
"-","Saint Lucia","13.9094","-60.9789","26","26","27","27","27","27","27","27","27","13.9094,-60.9789"
"-","Saint Vincent and the Grenadines","12.9843","-61.2872","62","62","62","62","64","64","64","64","64","12.9843,-61.2872"
"-","San Marino","43.9424","12.4578","716","716","722","722","722","722","722","722","722","43.9424,12.4578"
